stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789274182,989190230,4.034,robot_0,0.525,1.065
1789274182,989291886,4.034,robot_2,1.566,-1.617
1789274182,989330498,4.034,robot_1,0.196,-3.090
1789274186,594816001,7.639,robot_0,0.525,1.065
1789274186,594884141,7.639,robot_2,1.566,-1.617
1789274186,594917030,7.639,robot_1,0.196,-3.090
1789274189,277779704,10.322,robot_0,0.526,1.065
1789274189,277839140,10.322,robot_2,1.566,-1.617
1789274189,277867354,10.322,robot_1,0.196,-3.090
1789274189,481224335,10.526,robot_0,0.526,1.064
1789274189,481293751,10.526,robot_2,1.540,-1.609
1789274189,481330544,10.526,robot_1,0.196,-3.090
1789274189,686674522,10.731,robot_0,0.527,1.064
1789274189,690607682,10.735,robot_2,1.513,-1.600
1789274189,690676539,10.735,robot_1,0.196,-3.090
1789274189,906086861,10.951,robot_0,0.553,1.056
1789274189,906154615,10.951,robot_2,1.528,-1.606
1789274189,906186007,10.951,robot_1,0.195,-3.089
1789274190,117196687,11.162,robot_0,0.558,1.054
1789274190,117269381,11.162,robot_2,1.559,-1.619
1789274190,117298007,11.162,robot_1,0.196,-3.049
1789274190,329486655,11.374,robot_0,0.558,1.054
1789274190,329551703,11.374,robot_2,1.587,-1.631
1789274190,329581546,11.374,robot_1,0.198,-3.016
1789274190,540604201,11.585,robot_0,0.558,1.053
1789274190,540672882,11.585,robot_2,1.601,-1.636
1789274190,540703674,11.585,robot_1,0.201,-2.986
1789274190,740819139,11.785,robot_0,0.559,1.053
1789274190,740883453,11.785,robot_2,1.601,-1.636
1789274190,740908563,11.785,robot_1,0.205,-2.947
1789274190,945845745,11.996,robot_0,0.559,1.053
1789274190,951985606,11.997,robot_2,1.603,-1.634
1789274190,952045242,11.997,robot_1,0.212,-2.894
1789274191,195280544,12.240,robot_0,0.559,1.052
1789274191,195379616,12.240,robot_2,1.604,-1.632
1789274191,195418613,12.240,robot_1,0.218,-2.844
1789274191,402341138,12.447,robot_0,0.559,1.052
1789274191,402405406,12.447,robot_2,1.606,-1.631
1789274191,402432268,12.447,robot_1,0.222,-2.812
1789274191,631011609,12.676,robot_0,0.559,1.052
1789274191,631080301,12.676,robot_2,1.608,-1.630
1789274191,631114611,12.676,robot_1,0.229,-2.760
1789274191,833268652,12.878,robot_0,0.560,1.052
1789274191,833332343,12.878,robot_2,1.609,-1.630
1789274191,833357729,12.878,robot_1,0.233,-2.727
1789274192,52771003,13.097,robot_0,0.560,1.050
1789274192,52833765,13.097,robot_2,1.610,-1.630
1789274192,52953283,13.097,robot_1,0.240,-2.678
1789274192,272638399,13.317,robot_0,0.561,1.050
1789274192,272699068,13.317,robot_2,1.611,-1.630
1789274192,272725153,13.317,robot_1,0.245,-2.640
1789274192,549801458,13.594,robot_0,0.561,1.050
1789274192,549869330,13.594,robot_2,1.611,-1.629
1789274192,549902138,13.594,robot_1,0.252,-2.595
1789274192,752912012,13.797,robot_0,0.561,1.050
1789274192,752983045,13.797,robot_2,1.611,-1.628
1789274192,753009774,13.797,robot_1,0.256,-2.565
1789274192,753044952,13.798,robot_2_carried_generic_box,1.611,-1.628
1789274192,965120856,14.010,robot_0,0.562,1.050
1789274192,965176952,14.010,robot_2,1.623,-1.602
1789274192,965203532,14.010,robot_1,0.264,-2.509
1789274192,965237816,14.010,robot_2_carried_generic_box,1.611,-1.628
1789274193,170611630,14.215,robot_0,0.562,1.050
1789274193,170668254,14.215,robot_2,1.646,-1.553
1789274193,170718808,14.215,robot_1,0.272,-2.456
1789274193,170763920,14.215,robot_2_carried_generic_box,1.639,-1.566
1789274193,373722159,14.418,robot_0,0.562,1.050
1789274193,377857698,14.422,robot_2,1.660,-1.520
1789274193,377937351,14.422,robot_1,0.277,-2.423
1789274193,377975358,14.422,robot_2_carried_generic_box,1.653,-1.536
1789274193,578565268,14.623,robot_0,0.563,1.050
1789274193,578629793,14.623,robot_2,1.673,-1.491
1789274193,578668181,14.623,robot_1,0.281,-2.392
1789274193,578708841,14.623,robot_2_carried_generic_box,1.670,-1.500
1789274193,784511487,14.829,robot_0,0.563,1.051
1789274193,784582273,14.829,robot_2,1.687,-1.453
1789274193,784621382,14.829,robot_1,0.285,-2.362
1789274193,784662041,14.829,robot_2_carried_generic_box,1.683,-1.467
1789274194,4159996,15.049,robot_0,0.563,1.051
1789274194,4214502,15.049,robot_2,1.696,-1.427
1789274194,4244216,15.049,robot_1,0.287,-2.341
1789274194,4298683,15.049,robot_2_carried_generic_box,1.693,-1.436
1789274194,4320147,15.049,robot_0_carried_generic_box,0.563,1.051
1789274194,204706514,15.249,robot_0,0.563,1.051
1789274194,204772311,15.249,robot_2,1.705,-1.396
1789274194,204807276,15.249,robot_1,0.288,-2.294
1789274194,204844614,15.249,robot_2_carried_generic_box,1.701,-1.407
1789274194,204869762,15.249,robot_0_carried_generic_box,0.563,1.051
1789274194,441668115,15.486,robot_0,0.546,1.066
1789274194,441746692,15.486,robot_2,1.715,-1.341
1789274194,441896283,15.486,robot_1,0.288,-2.234
1789274194,441939683,15.486,robot_2_carried_generic_box,1.709,-1.373
1789274194,441965755,15.486,robot_0_carried_generic_box,0.555,1.058
1789274194,648855164,15.693,robot_0,0.521,1.086
1789274194,648929234,15.693,robot_2,1.719,-1.309
1789274194,648960051,15.693,robot_1,0.288,-2.199
1789274194,649007809,15.693,robot_2_carried_generic_box,1.717,-1.329
1789274194,649031311,15.694,robot_0_carried_generic_box,0.530,1.079
1789274194,866056092,15.911,robot_0,0.491,1.112
1789274194,866126905,15.911,robot_2,1.719,-1.278
1789274194,866169591,15.911,robot_1,0.287,-2.167
1789274194,866211777,15.911,robot_2_carried_generic_box,1.720,-1.287
1789274194,866239834,15.911,robot_0_carried_generic_box,0.512,1.094
1789274195,77110218,16.122,robot_0,0.448,1.150
1789274195,77177090,16.122,robot_2,1.715,-1.242
1789274195,77221105,16.122,robot_1,0.284,-2.130
1789274195,77264958,16.122,robot_2_carried_generic_box,1.717,-1.255
1789274195,77295882,16.122,robot_0_carried_generic_box,0.473,1.128
1789274195,296479334,16.341,robot_0,0.417,1.177
1789274195,296538554,16.341,robot_2,1.705,-1.207
1789274195,296575942,16.341,robot_1,0.280,-2.102
1789274195,296617200,16.341,robot_2_carried_generic_box,1.709,-1.220
1789274195,296651593,16.341,robot_0_carried_generic_box,0.437,1.159
1789274195,498129520,16.543,robot_0,0.390,1.201
1789274195,498189104,16.543,robot_2,1.693,-1.176
1789274195,498251076,16.543,robot_1,0.276,-2.072
1789274195,498293260,16.543,robot_2_carried_generic_box,1.698,-1.187
1789274195,498329015,16.543,robot_0_carried_generic_box,0.397,1.194
1789274195,731002804,16.776,robot_0,0.366,1.223
1789274195,731075706,16.776,robot_2,1.680,-1.149
1789274195,731118236,16.776,robot_1,0.274,-2.042
1789274195,731158598,16.776,robot_2_carried_generic_box,1.687,-1.163
1789274195,731192121,16.776,robot_0_carried_generic_box,0.375,1.214
1789274195,938599437,16.983,robot_0,0.335,1.255
1789274195,938698223,16.983,robot_2,1.663,-1.124
1789274195,938729975,16.985,robot_1,0.272,-2.000
1789274195,940649399,16.985,robot_2_carried_generic_box,1.671,-1.135
1789274195,940688631,16.985,robot_0_carried_generic_box,0.349,1.240
1789274196,158504146,17.203,robot_0,0.325,1.265
1789274196,158567200,17.203,robot_2,1.645,-1.100
1789274196,158604183,17.203,robot_1,0.270,-1.955
1789274196,158642209,17.203,robot_2_carried_generic_box,1.651,-1.108
1789274196,361875582,17.406,robot_0,0.325,1.265
1789274196,361955478,17.406,robot_2,1.624,-1.076
1789274196,361986607,17.406,robot_1,0.268,-1.907
1789274196,362025157,17.407,robot_2_carried_generic_box,1.628,-1.080
1789274196,578077931,17.623,robot_0,0.295,1.295
1789274196,578143290,17.623,robot_2,1.594,-1.041
1789274196,580573675,17.625,robot_1,0.265,-1.838
1789274196,580668884,17.625,robot_2_carried_generic_box,1.607,-1.056
1789274196,799066007,17.844,robot_0,0.262,1.326
1789274196,799140037,17.844,robot_2,1.575,-1.018
1789274196,799175363,17.844,robot_1,0.265,-1.813
1789274196,799219554,17.844,robot_2_carried_generic_box,1.586,-1.032
1789274196,799250327,17.844,robot_1_carried_generic_box,0.265,-1.818
1789274197,2866024,18.047,robot_0,0.231,1.357
1789274197,2935944,18.047,robot_2,1.557,-0.994
1789274197,2964625,18.047,robot_1,0.264,-1.809
1789274197,6038622,18.051,robot_2_carried_generic_box,1.566,-1.005
1789274197,6113582,18.051,robot_1_carried_generic_box,0.265,-1.813
1789274197,213312669,18.258,robot_0,0.224,1.363
1789274197,213379733,18.258,robot_2,1.542,-0.972
1789274197,213417111,18.258,robot_1,0.263,-1.775
1789274197,213463044,18.258,robot_2_carried_generic_box,1.548,-0.981
1789274197,213490001,18.258,robot_1_carried_generic_box,0.263,-1.781
1789274197,433679622,18.478,robot_0,0.224,1.363
1789274197,433745358,18.478,robot_2,1.520,-0.939
1789274197,433777716,18.478,robot_1,0.261,-1.732
1789274197,433822894,18.478,robot_2_carried_generic_box,1.536,-0.963
1789274197,433853603,18.478,robot_1_carried_generic_box,0.262,-1.747
1789274197,637606066,18.682,robot_0,0.224,1.363
1789274197,637668849,18.682,robot_2,1.505,-0.916
1789274197,637699978,18.682,robot_1,0.259,-1.698
1789274197,637732621,18.682,robot_2_carried_generic_box,1.516,-0.933
1789274197,637757114,18.682,robot_1_carried_generic_box,0.260,-1.715
1789274197,854770820,18.899,robot_0,0.224,1.363
1789274197,854837156,18.899,robot_2,1.486,-0.885
1789274197,854866743,18.899,robot_1,0.256,-1.644
1789274197,854903333,18.899,robot_2_carried_generic_box,1.499,-0.905
1789274197,854932088,18.899,robot_1_carried_generic_box,0.257,-1.668
1789274198,88112373,19.133,robot_0,0.224,1.364
1789274198,88205428,19.133,robot_2,1.465,-0.849
1789274198,88241919,19.133,robot_1,0.252,-1.599
1789274198,88281228,19.133,robot_2_carried_generic_box,1.473,-0.862
1789274198,88308103,19.133,robot_1_carried_generic_box,0.254,-1.620
1789274198,311519454,19.356,robot_0,0.224,1.364
1789274198,311578706,19.356,robot_2,1.436,-0.800
1789274198,311608344,19.356,robot_1,0.248,-1.543
1789274198,311643129,19.356,robot_2_carried_generic_box,1.449,-0.821
1789274198,311668469,19.356,robot_1_carried_generic_box,0.250,-1.560
1789274198,540457107,19.585,robot_0,0.225,1.364
1789274198,540523866,19.585,robot_2,1.414,-0.762
1789274198,540560050,19.585,robot_1,0.245,-1.497
1789274198,540600471,19.585,robot_2_carried_generic_box,1.424,-0.779
1789274198,540633191,19.585,robot_1_carried_generic_box,0.246,-1.516
1789274198,768026619,19.813,robot_0,0.225,1.365
1789274198,768109809,19.813,robot_2,1.397,-0.734
1789274198,768146916,19.813,robot_1,0.243,-1.464
1789274198,768188239,19.813,robot_2_carried_generic_box,1.402,-0.741
1789274198,768214976,19.813,robot_1_carried_generic_box,0.244,-1.485
1789274198,986371003,20.031,robot_0,0.224,1.365
1789274198,986438159,20.031,robot_2,1.381,-0.706
1789274198,986475648,20.031,robot_1,0.238,-1.417
1789274198,986514321,20.031,robot_2_carried_generic_box,1.385,-0.713
1789274198,986545110,20.031,robot_1_carried_generic_box,0.241,-1.447
1789274199,188482282,20.233,robot_0,0.224,1.365
1789274199,188552764,20.233,robot_2,1.369,-0.683
1789274199,188589806,20.233,robot_1,0.235,-1.385
1789274199,188622825,20.233,robot_2_carried_generic_box,1.374,-0.692
1789274199,188650590,20.233,robot_1_carried_generic_box,0.237,-1.400
1789274199,394771680,20.439,robot_0,0.224,1.366
1789274199,394836467,20.439,robot_2,1.356,-0.654
1789274199,394893614,20.439,robot_1,0.232,-1.350
1789274199,394934910,20.439,robot_2_carried_generic_box,1.363,-0.671
1789274199,394964973,20.439,robot_1_carried_generic_box,0.234,-1.368
1789274199,604432937,20.649,robot_0,0.224,1.366
1789274199,604503510,20.649,robot_2,1.340,-0.618
1789274199,604540812,20.649,robot_1,0.226,-1.300
1789274199,604580154,20.649,robot_2_carried_generic_box,1.351,-0.643
1789274199,604610778,20.649,robot_1_carried_generic_box,0.229,-1.320
1789274199,808311819,20.853,robot_0,0.224,1.366
1789274199,808377381,20.853,robot_2,1.321,-0.577
1789274199,808407838,20.853,robot_1,0.223,-1.270
1789274199,808467879,20.853,robot_2_carried_generic_box,1.332,-0.602
1789274199,808495408,20.853,robot_1_carried_generic_box,0.224,-1.282
1789274200,8841905,21.053,robot_0,0.224,1.366
1789274200,8910822,21.053,robot_2,1.316,-0.565
1789274200,8954987,21.053,robot_1,0.221,-1.256
1789274200,8999388,21.053,robot_2_carried_generic_box,1.318,-0.570
1789274200,9033123,21.054,robot_1_carried_generic_box,0.222,-1.266
1789274200,217173953,21.262,robot_0,0.224,1.366
1789274200,218609720,21.263,robot_2,1.300,-0.530
1789274200,218683370,21.263,robot_1,0.216,-1.215
1789274200,218726054,21.263,robot_2_carried_generic_box,1.312,-0.556
1789274200,218753090,21.263,robot_1_carried_generic_box,0.219,-1.235
1789274200,425418184,21.470,robot_0,0.223,1.367
1789274200,425487332,21.470,robot_2,1.279,-0.486
1789274200,425519380,21.470,robot_1,0.212,-1.183
1789274200,425563044,21.470,robot_2_carried_generic_box,1.295,-0.519
1789274200,425591813,21.470,robot_1_carried_generic_box,0.214,-1.199
1789274200,643199907,21.688,robot_0,0.223,1.367
1789274200,643271856,21.688,robot_2,1.258,-0.440
1789274200,643305175,21.688,robot_1,0.207,-1.149
1789274200,643353832,21.688,robot_2_carried_generic_box,1.262,-0.448
1789274200,643384390,21.688,robot_1_carried_generic_box,0.209,-1.163
1789274200,851243656,21.896,robot_0,0.223,1.367
1789274200,851310094,21.896,robot_2,1.244,-0.411
1789274200,851342286,21.896,robot_1,0.204,-1.127
1789274200,851380320,21.896,robot_2_carried_generic_box,1.253,-0.429
1789274200,851406264,21.896,robot_1_carried_generic_box,0.205,-1.137
1789274201,72243066,22.117,robot_0,0.222,1.367
1789274201,72309552,22.117,robot_2,1.229,-0.379
1789274201,72338646,22.117,robot_1,0.199,-1.094
1789274201,72375373,22.117,robot_2_carried_generic_box,1.232,-0.386
1789274201,72405438,22.117,robot_1_carried_generic_box,0.201,-1.112
1789274201,276296774,22.321,robot_0,0.222,1.356
1789274201,276361610,22.321,robot_2,1.210,-0.341
1789274201,276412567,22.321,robot_1,0.194,-1.062
1789274201,276446255,22.321,robot_2_carried_generic_box,1.215,-0.352
1789274201,276474957,22.321,robot_1_carried_generic_box,0.197,-1.082
1789274201,511182507,22.556,robot_0,0.220,1.325
1789274201,511247954,22.556,robot_2,1.189,-0.302
1789274201,511279514,22.556,robot_1,0.189,-1.033
1789274201,511312485,22.556,robot_2_carried_generic_box,1.199,-0.320
1789274201,511337825,22.556,robot_1_carried_generic_box,0.190,-1.040
1789274201,722854801,22.767,robot_0,0.219,1.274
1789274201,722949287,22.767,robot_2,1.165,-0.256
1789274201,722979095,22.767,robot_1,0.183,-0.995
1789274201,723012391,22.768,robot_2_carried_generic_box,1.179,-0.283
1789274201,723041704,22.768,robot_1_carried_generic_box,0.186,-1.013
1789274201,943534230,22.988,robot_0,0.217,1.229
1789274201,943608090,22.988,robot_2,1.145,-0.216
1789274201,943642146,22.988,robot_1,0.175,-0.950
1789274201,943682919,22.988,robot_2_carried_generic_box,1.157,-0.240
1789274201,943717063,22.988,robot_1_carried_generic_box,0.179,-0.974
1789274202,171294277,23.216,robot_0,0.215,1.178
1789274202,171368334,23.216,robot_2,1.121,-0.171
1789274202,171409920,23.216,robot_1,0.169,-0.915
1789274202,171452619,23.216,robot_2_carried_generic_box,1.128,-0.184
1789274202,171488530,23.216,robot_1_carried_generic_box,0.173,-0.935
1789274202,398499632,23.443,robot_0,0.213,1.132
1789274202,398575405,23.443,robot_2,1.104,-0.139
1789274202,398616261,23.443,robot_1,0.164,-0.884
1789274202,398656482,23.443,robot_2_carried_generic_box,1.112,-0.153
1789274202,398686419,23.443,robot_1_carried_generic_box,0.165,-0.891
1789274202,610010511,23.655,robot_0,0.212,1.098
1789274202,610088025,23.655,robot_2,1.085,-0.104
1789274202,610124979,23.655,robot_1,0.158,-0.846
1789274202,610168952,23.655,robot_2_carried_generic_box,1.098,-0.126
1789274202,610207104,23.655,robot_1_carried_generic_box,0.161,-0.866
1789274202,826476689,23.871,robot_0,0.213,1.056
1789274202,826547189,23.871,robot_2,1.062,-0.062
1789274202,826588151,23.871,robot_1,0.150,-0.798
1789274202,826627664,23.871,robot_2_carried_generic_box,1.075,-0.086
1789274202,826655816,23.871,robot_1_carried_generic_box,0.153,-0.819
1789274203,28001801,24.073,robot_0,0.217,1.017
1789274203,28072962,24.073,robot_2,1.043,-0.028
1789274203,28114063,24.073,robot_1,0.145,-0.770
1789274203,28148860,24.073,robot_2_carried_generic_box,1.056,-0.052
1789274203,28177003,24.073,robot_1_carried_generic_box,0.148,-0.786
1789274203,259124568,24.304,robot_0,0.222,0.967
1789274203,259187137,24.304,robot_2,1.024,0.005
1789274203,259220878,24.304,robot_1,0.139,-0.733
1789274203,259252561,24.304,robot_2_carried_generic_box,1.037,-0.017
1789274203,259276682,24.304,robot_1_carried_generic_box,0.142,-0.750
1789274203,470199560,24.515,robot_0,0.225,0.938
1789274203,470266122,24.515,robot_2,1.010,0.030
1789274203,470307232,24.515,robot_1,0.134,-0.705
1789274203,470348313,24.515,robot_2_carried_generic_box,1.014,0.023
1789274203,470383185,24.515,robot_1_carried_generic_box,0.137,-0.721
1789274203,683007296,24.728,robot_0,0.233,0.895
1789274203,683078593,24.728,robot_2,0.990,0.061
1789274203,683118051,24.728,robot_1,0.128,-0.670
1789274203,683161279,24.728,robot_2_carried_generic_box,0.998,0.048
1789274203,683193049,24.728,robot_1_carried_generic_box,0.133,-0.697
1789274203,893371865,24.938,robot_0,0.243,0.847
1789274203,893437319,24.938,robot_2,0.959,0.111
1789274203,893469876,24.938,robot_1,0.119,-0.614
1789274203,893498957,24.938,robot_2_carried_generic_box,0.971,0.091
1789274203,893525833,24.938,robot_1_carried_generic_box,0.125,-0.652
1789274204,122214833,25.167,robot_0,0.251,0.816
1789274204,122277801,25.167,robot_2,0.939,0.142
1789274204,122310570,25.167,robot_1,0.114,-0.583
1789274204,127153142,25.172,robot_2_carried_generic_box,0.948,0.129
1789274204,127239636,25.172,robot_1_carried_generic_box,0.115,-0.591
1789274204,332810318,25.377,robot_0,0.260,0.788
1789274204,332883876,25.377,robot_2,0.913,0.183
1789274204,332928982,25.377,robot_1,0.106,-0.533
1789274204,332963619,25.377,robot_2_carried_generic_box,0.932,0.153
1789274204,332999379,25.377,robot_1_carried_generic_box,0.109,-0.557
1789274204,542839542,25.587,robot_0,0.260,0.788
1789274204,542907880,25.587,robot_2,0.887,0.223
1789274204,542948041,25.587,robot_1,0.098,-0.486
1789274204,542982467,25.587,robot_2_carried_generic_box,0.903,0.198
1789274204,543010904,25.587,robot_1_carried_generic_box,0.102,-0.509
1789274204,776032731,25.821,robot_0,0.260,0.788
1789274204,776104902,25.821,robot_2,0.879,0.235
1789274204,776147528,25.821,robot_1,0.090,-0.439
1789274204,776185857,25.821,robot_2_carried_generic_box,0.882,0.232
1789274204,776222913,25.821,robot_1_carried_generic_box,0.095,-0.468
1789274205,2786985,26.047,robot_0,0.259,0.788
1789274205,2861539,26.047,robot_2,0.880,0.235
1789274205,2901213,26.047,robot_1,0.084,-0.403
1789274205,2950434,26.047,robot_2_carried_generic_box,0.880,0.235
1789274205,2987003,26.047,robot_1_carried_generic_box,0.087,-0.417
1789274205,210259980,26.255,robot_0,0.259,0.787
1789274205,210384123,26.255,robot_2,0.880,0.236
1789274205,210428666,26.255,robot_1,0.081,-0.379
1789274205,210463652,26.255,robot_2_carried_generic_box,0.880,0.235
1789274205,210495385,26.255,robot_1_carried_generic_box,0.082,-0.389
1789274205,415906774,26.460,robot_0,0.259,0.787
1789274205,415979720,26.460,robot_2,0.880,0.236
1789274205,416011979,26.461,robot_1,0.078,-0.352
1789274205,416052499,26.461,robot_2_carried_generic_box,0.880,0.236
1789274205,416081206,26.461,robot_1_carried_generic_box,0.078,-0.360
1789274205,617351281,26.662,robot_0,0.259,0.787
1789274205,617428594,26.662,robot_2,0.880,0.236
1789274205,617475434,26.662,robot_1,0.075,-0.319
1789274205,617518501,26.662,robot_2_carried_generic_box,0.880,0.236
1789274205,617552890,26.662,robot_1_carried_generic_box,0.077,-0.340
1789274205,826833441,26.871,robot_0,0.259,0.787
1789274205,826915538,26.871,robot_2,0.880,0.236
1789274205,826962808,26.871,robot_1,0.073,-0.274
1789274205,827008322,26.871,robot_2_carried_generic_box,0.880,0.236
1789274205,827036319,26.872,robot_1_carried_generic_box,0.074,-0.301
1789274206,43060503,27.088,robot_0,0.259,0.786
1789274206,44530140,27.089,robot_2,0.880,0.236
1789274206,44609013,27.089,robot_1,0.070,-0.226
1789274206,44660146,27.089,robot_2_carried_generic_box,0.880,0.236
1789274206,44701120,27.089,robot_1_carried_generic_box,0.071,-0.244
1789274206,248585061,27.293,robot_0,0.258,0.786
1789274206,248660144,27.293,robot_2,0.880,0.237
1789274206,248703084,27.293,robot_1,0.069,-0.199
1789274206,248747562,27.293,robot_2_carried_generic_box,0.880,0.236
1789274206,248779099,27.293,robot_1_carried_generic_box,0.070,-0.211
1789274206,471301295,27.516,robot_0,0.258,0.786
1789274206,471384649,27.516,robot_2,0.880,0.237
1789274206,471415902,27.516,robot_1,0.066,-0.153
1789274206,471449192,27.516,robot_2_carried_generic_box,0.880,0.237
1789274206,471477781,27.516,robot_1_carried_generic_box,0.068,-0.181
1789274206,686135000,27.731,robot_0,0.258,0.785
1789274206,686204722,27.731,robot_2,0.880,0.237
1789274206,686247354,27.731,robot_1,0.067,-0.152
1789274206,686284264,27.731,robot_2_carried_generic_box,0.880,0.237
1789274206,686313154,27.731,robot_1_carried_generic_box,0.066,-0.152
1789274206,900450867,27.945,robot_0,0.258,0.785
1789274206,900526625,27.945,robot_2,0.880,0.237
1789274206,900565518,27.945,robot_1,0.067,-0.152
1789274206,900608933,27.945,robot_2_carried_generic_box,0.880,0.237
1789274206,900643505,27.945,robot_1_carried_generic_box,0.067,-0.152
1789274207,114917047,28.159,robot_0,0.259,0.785
1789274207,114996730,28.159,robot_2,0.880,0.238
1789274207,115038348,28.160,robot_1,0.067,-0.152
1789274207,115079494,28.160,robot_2_carried_generic_box,0.880,0.237
1789274207,115117057,28.160,robot_1_carried_generic_box,0.067,-0.152
1789274207,325399428,28.370,robot_0,0.259,0.784
1789274207,325470756,28.370,robot_2,0.880,0.238
1789274207,325510794,28.370,robot_1,0.067,-0.152
1789274207,325547076,28.370,robot_2_carried_generic_box,0.880,0.238
1789274207,325576456,28.370,robot_1_carried_generic_box,0.067,-0.152
1789274207,530573545,28.575,robot_0,0.259,0.784
1789274207,530657397,28.575,robot_2,0.880,0.238
1789274207,530700560,28.575,robot_1,0.068,-0.152
1789274207,530745605,28.575,robot_2_carried_generic_box,0.880,0.238
1789274207,530782137,28.575,robot_1_carried_generic_box,0.068,-0.152
1789274207,746425441,28.791,robot_0,0.259,0.784
1789274207,746506069,28.791,robot_2,0.879,0.238
1789274207,746550866,28.791,robot_1,0.068,-0.152
1789274207,746596095,28.791,robot_2_carried_generic_box,0.880,0.238
1789274207,746632506,28.791,robot_1_carried_generic_box,0.068,-0.152
1789274207,950492427,28.995,robot_0,0.259,0.784
1789274207,950557265,28.995,robot_2,0.879,0.238
1789274207,950591200,28.995,robot_1,0.068,-0.151
1789274207,950623999,28.995,robot_2_carried_generic_box,0.879,0.238
1789274207,950651965,28.995,robot_1_carried_generic_box,0.068,-0.152
1789274208,178715476,29.223,robot_0,0.260,0.784
1789274208,178787818,29.223,robot_2,0.879,0.238
1789274208,178824966,29.223,robot_1,0.068,-0.151
1789274208,178861266,29.223,robot_2_carried_generic_box,0.879,0.238
1789274208,180931818,29.225,robot_1_carried_generic_box,0.068,-0.151
1789274208,379361308,29.424,robot_0,0.266,0.794
1789274208,379420104,29.424,robot_2,0.879,0.238
1789274208,379449782,29.424,robot_1,0.068,-0.151
1789274208,379483259,29.424,robot_2_carried_generic_box,0.879,0.238
1789274208,379509867,29.424,robot_1_carried_generic_box,0.068,-0.151
1789274208,588095802,29.633,robot_0,0.283,0.824
1789274208,588163366,29.633,robot_2,0.879,0.238
1789274208,588200940,29.633,robot_1,0.068,-0.150
1789274208,588242199,29.633,robot_2_carried_generic_box,0.879,0.238
1789274208,588270245,29.633,robot_1_carried_generic_box,0.068,-0.151
1789274208,800057295,29.845,robot_0,0.300,0.851
1789274208,800124364,29.845,robot_2,0.878,0.239
1789274208,800161057,29.845,robot_1,0.069,-0.150
1789274208,800195257,29.845,robot_2_carried_generic_box,0.878,0.239
1789274208,800222621,29.845,robot_1_carried_generic_box,0.069,-0.150
1789274209,3353772,30.048,robot_0,0.328,0.889
1789274209,3424420,30.048,robot_2,0.878,0.239
1789274209,3465614,30.048,robot_1,0.069,-0.150
1789274209,3508548,30.048,robot_2_carried_generic_box,0.878,0.239
1789274209,3542897,30.048,robot_1_carried_generic_box,0.069,-0.150
1789274209,214297416,30.259,robot_0,0.364,0.933
1789274209,215003508,30.260,robot_2,0.877,0.232
1789274209,215077134,30.260,robot_1,0.068,-0.149
1789274209,215117815,30.260,robot_2_carried_generic_box,0.878,0.239
1789274209,215143423,30.260,robot_1_carried_generic_box,0.069,-0.150
1789274209,447161331,30.492,robot_0,0.400,0.978
1789274209,447229698,30.492,robot_2,0.870,0.178
1789274209,447269616,30.492,robot_1,0.068,-0.149
1789274209,447312835,30.492,robot_2_carried_generic_box,0.877,0.227
1789274209,447349031,30.492,robot_1_carried_generic_box,0.068,-0.149
1789274209,659712428,30.704,robot_0,0.422,1.005
1789274209,659779371,30.704,robot_2,0.865,0.139
1789274209,659816705,30.704,robot_1,0.068,-0.149
1789274209,659858863,30.704,robot_2_carried_generic_box,0.870,0.172
1789274209,659894034,30.711,robot_1_carried_generic_box,0.068,-0.149
1789274209,889583637,30.934,robot_0,0.448,1.035
1789274209,889658401,30.934,robot_2,0.859,0.091
1789274209,889694363,30.934,robot_1,0.068,-0.148
1789274209,889731587,30.934,robot_2_carried_generic_box,0.862,0.112
1789274209,889764574,30.934,robot_1_carried_generic_box,0.068,-0.149
1789274210,116327993,31.161,robot_0,0.480,1.072
1789274210,116397690,31.161,robot_2,0.856,0.068
1789274210,116430888,31.161,robot_1,0.068,-0.148
1789274210,116463645,31.161,robot_2_carried_generic_box,0.857,0.071
1789274210,116489455,31.161,robot_1_carried_generic_box,0.068,-0.148
1789274210,338619947,31.383,robot_0,0.501,1.096
1789274210,338683893,31.383,robot_2,0.856,0.060
1789274210,338724645,31.383,robot_1,0.051,-0.167
1789274210,338767005,31.383,robot_2_carried_generic_box,0.856,0.068
1789274210,338801280,31.383,robot_1_carried_generic_box,0.063,-0.153
1789274210,557630692,31.602,robot_0,0.535,1.130
1789274210,557714783,31.602,robot_2,0.856,0.014
1789274210,557755460,31.602,robot_1,0.020,-0.203
1789274210,557791099,31.602,robot_2_carried_generic_box,0.856,0.029
1789274210,557817571,31.603,robot_1_carried_generic_box,0.039,-0.180
1789274210,770945433,31.815,robot_0,0.563,1.156
1789274210,771022682,31.816,robot_2,0.857,-0.031
1789274210,771056157,31.816,robot_1,-0.009,-0.237
1789274210,771089728,31.816,robot_2_carried_generic_box,0.857,-0.022
1789274210,771117036,31.816,robot_1_carried_generic_box,0.008,-0.217
1789274210,979853590,32.024,robot_0,0.584,1.177
1789274210,979915828,32.024,robot_2,0.858,-0.077
1789274210,979953101,32.024,robot_1,-0.039,-0.272
1789274210,979988446,32.024,robot_2_carried_generic_box,0.857,-0.064
1789274210,980018633,32.025,robot_1_carried_generic_box,-0.021,-0.251
