stamp_sec,stamp_nsec,elapsed_s,robot,x,y
1789330064,435935977,2.876,robot_1,-0.165,0.298
1789330064,436076894,2.876,robot_2,-0.341,-2.915
1789330064,436178007,2.876,robot_0,-1.715,1.450
1789330065,505055078,3.945,robot_1,-0.165,0.298
1789330065,505122725,3.945,robot_2,-0.341,-2.915
1789330065,505159932,3.945,robot_0,-1.715,1.450
1789330069,511494313,7.951,robot_1,-0.165,0.298
1789330069,511571519,7.951,robot_2,-0.341,-2.915
1789330069,511612624,7.951,robot_0,-1.715,1.450
1789330069,728527750,8.168,robot_1,-0.152,0.334
1789330069,728598797,8.168,robot_2,-0.341,-2.915
1789330069,728632622,8.168,robot_0,-1.704,1.481
1789330069,934179926,8.374,robot_1,-0.160,0.312
1789330069,934250015,8.374,robot_2,-0.370,-2.893
1789330069,934277744,8.374,robot_0,-1.701,1.486
1789330070,135389517,8.575,robot_1,-0.169,0.288
1789330070,135460448,8.575,robot_2,-0.397,-2.874
1789330070,135489325,8.575,robot_0,-1.692,1.506
1789330070,346924836,8.787,robot_1,-0.176,0.266
1789330070,346990594,8.787,robot_2,-0.401,-2.872
1789330070,347020724,8.787,robot_0,-1.677,1.536
1789330070,547992340,8.988,robot_1,-0.164,0.301
1789330070,548066430,8.988,robot_2,-0.392,-2.878
1789330070,548103346,8.988,robot_0,-1.669,1.552
1789330070,751418356,9.191,robot_1,-0.160,0.312
1789330070,751491245,9.191,robot_2,-0.372,-2.894
1789330070,751522658,9.191,robot_0,-1.669,1.552
1789330070,969686503,9.409,robot_1,-0.168,0.284
1789330070,969788139,9.409,robot_2,-0.366,-2.899
1789330070,971950214,9.412,robot_0,-1.670,1.552
1789330071,179475491,9.619,robot_1,-0.174,0.266
1789330071,179549848,9.619,robot_2,-0.366,-2.899
1789330071,179596601,9.619,robot_0,-1.670,1.552
1789330071,386040886,9.826,robot_1,-0.174,0.266
1789330071,386107321,9.826,robot_2,-0.366,-2.898
1789330071,386132000,9.826,robot_0,-1.671,1.552
1789330071,595448831,10.035,robot_1,-0.174,0.266
1789330071,595520425,10.035,robot_2,-0.366,-2.898
1789330071,595558481,10.035,robot_0,-1.671,1.552
1789330071,821872194,10.262,robot_1,-0.175,0.266
1789330071,821938670,10.262,robot_2,-0.366,-2.898
1789330071,821974876,10.262,robot_0,-1.672,1.552
1789330072,34057745,10.474,robot_1,-0.176,0.266
1789330072,34122776,10.474,robot_2,-0.366,-2.897
1789330072,34152031,10.474,robot_0,-1.672,1.551
1789330072,238412876,10.678,robot_1,-0.178,0.265
1789330072,238476459,10.678,robot_2,-0.366,-2.897
1789330072,238503785,10.678,robot_0,-1.673,1.551
1789330072,450677780,10.890,robot_1,-0.179,0.263
1789330072,450748993,10.890,robot_2,-0.366,-2.896
1789330072,450783690,10.890,robot_0,-1.673,1.550
1789330072,660022031,11.100,robot_1,-0.179,0.259
1789330072,660092355,11.100,robot_2,-0.366,-2.896
1789330072,660124559,11.100,robot_0,-1.674,1.549
1789330072,869310678,11.309,robot_1,-0.180,0.254
1789330072,869382604,11.309,robot_2,-0.366,-2.896
1789330072,869418431,11.309,robot_0,-1.674,1.548
1789330073,70105940,11.510,robot_1,-0.180,0.254
1789330073,70178061,11.510,robot_2,-0.367,-2.896
1789330073,70207325,11.510,robot_0,-1.674,1.548
1789330073,274993693,11.715,robot_1,-0.180,0.254
1789330073,275066531,11.715,robot_2,-0.367,-2.895
1789330073,275096154,11.715,robot_0,-1.674,1.547
1789330073,503299408,11.943,robot_1,-0.180,0.254
1789330073,503377823,11.943,robot_2,-0.367,-2.895
1789330073,503414035,11.943,robot_0,-1.674,1.547
1789330073,704545580,12.144,robot_1,-0.180,0.255
1789330073,704648106,12.144,robot_2,-0.368,-2.895
1789330073,704685390,12.144,robot_0,-1.674,1.547
1789330073,904666934,12.344,robot_1,-0.180,0.255
1789330073,911296374,12.351,robot_2,-0.368,-2.895
1789330073,911391494,12.351,robot_0,-1.674,1.546
1789330074,112946910,12.553,robot_1,-0.180,0.255
1789330074,113027938,12.553,robot_2,-0.368,-2.895
1789330074,113067968,12.553,robot_0,-1.674,1.546
1789330074,320353620,12.760,robot_1,-0.180,0.255
1789330074,331263387,12.771,robot_2,-0.369,-2.895
1789330074,331342631,12.771,robot_0,-1.674,1.545
1789330074,538365672,12.978,robot_1,-0.180,0.256
1789330074,538437235,12.978,robot_2,-0.367,-2.901
1789330074,538472859,12.978,robot_0,-1.673,1.545
1789330074,774081330,13.214,robot_1,-0.180,0.256
1789330074,774155217,13.214,robot_2,-0.345,-2.950
1789330074,774195409,13.214,robot_0,-1.697,1.522
1789330075,2937251,13.446,robot_1,-0.180,0.256
1789330075,6428687,13.446,robot_2,-0.340,-2.961
1789330075,6484543,13.446,robot_0,-1.723,1.497
1789330075,214798033,13.654,robot_1,-0.180,0.256
1789330075,214871674,13.655,robot_2,-0.343,-2.956
1789330075,214906736,13.655,robot_0,-1.743,1.476
1789330075,424609167,13.864,robot_1,-0.181,0.256
1789330075,424679258,13.864,robot_2,-0.367,-2.926
1789330075,424705714,13.864,robot_0,-1.743,1.476
1789330075,641485451,14.085,robot_1,-0.181,0.256
1789330075,645874806,14.086,robot_2,-0.383,-2.908
1789330075,645922770,14.086,robot_0,-1.739,1.481
1789330075,867319299,14.307,robot_1,-0.181,0.256
1789330075,867391805,14.307,robot_2,-0.407,-2.880
1789330075,867420775,14.307,robot_0,-1.703,1.519
1789330076,69485569,14.509,robot_1,-0.181,0.256
1789330076,69569139,14.509,robot_2,-0.410,-2.877
1789330076,69609597,14.509,robot_0,-1.707,1.514
1789330076,270777778,14.710,robot_1,-0.176,0.270
1789330076,270847374,14.711,robot_2,-0.410,-2.877
1789330076,270879783,14.711,robot_0,-1.715,1.506
1789330076,478408790,14.918,robot_1,-0.171,0.282
1789330076,478479799,14.918,robot_2,-0.410,-2.877
1789330076,478509479,14.918,robot_0,-1.715,1.506
1789330076,695674341,15.135,robot_1,-0.192,0.229
1789330076,695751360,15.135,robot_2,-0.411,-2.878
1789330076,695787386,15.135,robot_0,-1.731,1.492
1789330076,901604476,15.341,robot_1,-0.215,0.173
1789330076,901683535,15.341,robot_2,-0.411,-2.879
1789330076,901718518,15.341,robot_0,-1.765,1.462
1789330077,128768602,15.568,robot_1,-0.204,0.198
1789330077,128839577,15.569,robot_2,-0.411,-2.879
1789330077,128875734,15.569,robot_0,-1.798,1.432
1789330077,335110920,15.775,robot_1,-0.187,0.241
1789330077,335174471,15.775,robot_2,-0.410,-2.880
1789330077,335204148,15.775,robot_0,-1.816,1.415
1789330077,555539458,15.995,robot_1,-0.172,0.279
1789330077,555615773,15.995,robot_2,-0.410,-2.880
1789330077,555645226,15.995,robot_0,-1.817,1.415
1789330077,760435443,16.200,robot_1,-0.170,0.283
1789330077,760501085,16.200,robot_2,-0.410,-2.881
1789330077,760534208,16.200,robot_0,-1.817,1.416
1789330077,960800646,16.400,robot_1,-0.170,0.283
1789330077,960865228,16.401,robot_2,-0.409,-2.881
1789330077,960890555,16.401,robot_0,-1.817,1.417
1789330078,177711193,16.617,robot_1,-0.170,0.283
1789330078,177780554,16.617,robot_2,-0.403,-2.869
1789330078,177816163,16.617,robot_0,-1.817,1.417
1789330078,394182906,16.834,robot_1,-0.170,0.282
1789330078,394248801,16.834,robot_2,-0.382,-2.831
1789330078,394276882,16.834,robot_0,-1.817,1.418
1789330078,606729460,17.046,robot_1,-0.169,0.282
1789330078,606797144,17.046,robot_2,-0.378,-2.822
1789330078,606826047,17.046,robot_0,-1.817,1.419
1789330078,823139970,17.263,robot_1,-0.169,0.282
1789330078,823208736,17.263,robot_2,-0.378,-2.822
1789330078,823241473,17.263,robot_0,-1.816,1.419
1789330079,36149825,17.476,robot_1,-0.169,0.281
1789330079,36214913,17.476,robot_2,-0.378,-2.822
1789330079,36242980,17.476,robot_0,-1.816,1.420
1789330079,254503817,17.694,robot_1,-0.169,0.281
1789330079,254583847,17.694,robot_2,-0.378,-2.822
1789330079,254613420,17.694,robot_0,-1.815,1.420
1789330079,468960877,17.909,robot_1,-0.169,0.280
1789330079,469035990,17.909,robot_2,-0.378,-2.822
1789330079,469074021,17.909,robot_0,-1.815,1.420
1789330079,695121842,18.135,robot_1,-0.170,0.280
1789330079,695192302,18.135,robot_2,-0.377,-2.823
1789330079,695225330,18.135,robot_0,-1.801,1.389
1789330079,905463553,18.345,robot_1,-0.170,0.280
1789330079,905528943,18.345,robot_2,-0.377,-2.822
1789330079,905557160,18.345,robot_0,-1.791,1.365
1789330080,133398228,18.573,robot_1,-0.170,0.280
1789330080,133467464,18.573,robot_2,-0.376,-2.822
1789330080,133500958,18.573,robot_0,-1.791,1.365
1789330080,352908545,18.793,robot_1,-0.170,0.280
1789330080,352976264,18.793,robot_2,-0.376,-2.822
1789330080,353006568,18.793,robot_0,-1.792,1.364
1789330080,560199231,19.000,robot_1,-0.170,0.280
1789330080,560287813,19.000,robot_2,-0.376,-2.822
1789330080,560325030,19.000,robot_0,-1.792,1.364
1789330080,789432894,19.229,robot_1,-0.170,0.279
1789330080,789503027,19.229,robot_2,-0.375,-2.822
1789330080,789534975,19.229,robot_0,-1.792,1.364
1789330081,16131876,19.456,robot_1,-0.170,0.280
1789330081,16206921,19.456,robot_2,-0.375,-2.821
1789330081,16244896,19.456,robot_0,-1.793,1.363
1789330081,240647924,19.680,robot_1,-0.170,0.280
1789330081,240737205,19.680,robot_2,-0.375,-2.821
1789330081,240788692,19.680,robot_0,-1.793,1.363
1789330081,448638316,19.888,robot_1,-0.170,0.280
1789330081,448709376,19.888,robot_2,-0.375,-2.821
1789330081,448744109,19.888,robot_0,-1.793,1.362
1789330081,654448684,20.094,robot_1,-0.170,0.280
1789330081,654526548,20.094,robot_2,-0.375,-2.820
1789330081,654570691,20.094,robot_0,-1.793,1.362
1789330081,856903279,20.297,robot_1,-0.170,0.280
1789330081,856970257,20.297,robot_2,-0.375,-2.820
1789330081,857001887,20.297,robot_0,-1.793,1.361
1789330082,70813785,20.510,robot_1,-0.170,0.281
1789330082,70888310,20.511,robot_2,-0.375,-2.819
1789330082,70926437,20.511,robot_0,-1.793,1.361
1789330082,271239276,20.711,robot_1,-0.170,0.281
1789330082,271304882,20.711,robot_2,-0.375,-2.819
1789330082,271336506,20.711,robot_0,-1.792,1.360
1789330082,477223074,20.917,robot_1,-0.170,0.281
1789330082,477292909,20.917,robot_2,-0.375,-2.819
1789330082,477323826,20.917,robot_0,-1.792,1.360
1789330082,680823939,21.120,robot_1,-0.170,0.282
1789330082,680901338,21.121,robot_2,-0.356,-2.810
1789330082,680935883,21.121,robot_0,-1.792,1.360
1789330082,890966352,21.331,robot_1,-0.170,0.282
1789330082,891043865,21.331,robot_2,-0.328,-2.797
1789330082,891086386,21.331,robot_0,-1.791,1.360
1789330083,101448832,21.541,robot_1,-0.170,0.282
1789330083,101518796,21.541,robot_2,-0.344,-2.804
1789330083,101553471,21.541,robot_0,-1.791,1.359
1789330083,310147585,21.750,robot_1,-0.171,0.282
1789330083,310221525,21.750,robot_2,-0.397,-2.829
1789330083,310252025,21.750,robot_0,-1.790,1.359
1789330083,513571165,21.953,robot_1,-0.171,0.282
1789330083,513636889,21.953,robot_2,-0.400,-2.831
1789330083,513667214,21.953,robot_0,-1.790,1.359
1789330083,717710978,22.157,robot_1,-0.171,0.282
1789330083,721053678,22.161,robot_2,-0.434,-2.846
1789330083,721125867,22.161,robot_0,-1.790,1.359
1789330083,922631986,22.362,robot_1,-0.171,0.282
1789330083,922705085,22.362,robot_2,-0.477,-2.866
1789330083,922743498,22.362,robot_0,-1.790,1.346
1789330084,134495683,22.574,robot_1,-0.172,0.282
1789330084,134578013,22.574,robot_2,-0.531,-2.891
1789330084,134615953,22.574,robot_0,-1.791,1.303
1789330084,379465054,22.819,robot_1,-0.172,0.282
1789330084,379535950,22.819,robot_2,-0.542,-2.896
1789330084,379574970,22.819,robot_0,-1.791,1.297
1789330084,592856055,23.033,robot_1,-0.172,0.282
1789330084,592927472,23.033,robot_2,-0.525,-2.888
1789330084,592968053,23.033,robot_0,-1.791,1.291
1789330084,812669072,23.252,robot_1,-0.172,0.282
1789330084,812748628,23.252,robot_2,-0.525,-2.888
1789330084,812781229,23.252,robot_0,-1.791,1.257
1789330085,39877871,23.480,robot_1,-0.171,0.282
1789330085,39952120,23.480,robot_2,-0.525,-2.888
1789330085,39988802,23.480,robot_0,-1.790,1.215
1789330085,253443286,23.693,robot_1,-0.171,0.282
1789330085,253508653,23.693,robot_2,-0.525,-2.888
1789330085,253538898,23.693,robot_0,-1.790,1.192
1789330085,459473831,23.899,robot_1,-0.171,0.283
1789330085,459549398,23.899,robot_2,-0.525,-2.888
1789330085,459594890,23.899,robot_0,-1.790,1.192
1789330085,676229542,24.116,robot_1,-0.153,0.312
1789330085,676304893,24.116,robot_2,-0.525,-2.888
1789330085,676343790,24.116,robot_0,-1.795,1.217
1789330085,891721042,24.331,robot_1,-0.135,0.345
1789330085,891789502,24.331,robot_2,-0.526,-2.887
1789330085,891822178,24.331,robot_0,-1.803,1.248
1789330086,98083893,24.538,robot_1,-0.114,0.382
1789330086,98157975,24.538,robot_2,-0.526,-2.887
1789330086,98198865,24.538,robot_0,-1.795,1.222
1789330086,300217172,24.740,robot_1,-0.097,0.411
1789330086,300282378,24.740,robot_2,-0.526,-2.887
1789330086,300314120,24.740,robot_0,-1.806,1.257
1789330086,500839346,24.941,robot_1,-0.077,0.446
1789330086,500907138,24.941,robot_2,-0.527,-2.887
1789330086,500939060,24.941,robot_0,-1.813,1.279
1789330086,705048484,25.145,robot_1,-0.064,0.470
1789330086,705116688,25.145,robot_2,-0.527,-2.887
1789330086,705145585,25.145,robot_0,-1.813,1.279
1789330086,912837985,25.353,robot_1,-0.064,0.470
1789330086,912903940,25.353,robot_2,-0.528,-2.887
1789330086,912932737,25.353,robot_0,-1.813,1.279
1789330087,123875105,25.564,robot_1,-0.064,0.470
1789330087,123946040,25.564,robot_2,-0.528,-2.887
1789330087,123982188,25.564,robot_0,-1.812,1.280
1789330087,334157714,25.774,robot_1,-0.063,0.469
1789330087,334220585,25.774,robot_2,-0.528,-2.888
1789330087,334252493,25.774,robot_0,-1.812,1.280
1789330087,557297562,25.997,robot_1,-0.063,0.469
1789330087,557367506,25.997,robot_2,-0.529,-2.888
1789330087,557406391,25.997,robot_0,-1.812,1.281
1789330087,763696603,26.203,robot_1,-0.063,0.468
1789330087,763764542,26.203,robot_2,-0.529,-2.888
1789330087,763796002,26.203,robot_0,-1.811,1.281
1789330087,971607460,26.411,robot_1,-0.063,0.468
1789330087,971674231,26.411,robot_2,-0.529,-2.889
1789330087,971705495,26.411,robot_0,-1.811,1.282
1789330088,192254209,26.632,robot_1,-0.063,0.468
1789330088,192313360,26.632,robot_2,-0.529,-2.889
1789330088,192353069,26.632,robot_0,-1.811,1.282
1789330088,418628476,26.858,robot_1,-0.063,0.467
1789330088,418704346,26.858,robot_2,-0.529,-2.889
1789330088,418736880,26.858,robot_0,-1.811,1.283
1789330088,639715167,27.080,robot_1,-0.063,0.467
1789330088,640723879,27.080,robot_2,-0.529,-2.890
1789330088,640770759,27.080,robot_0,-1.812,1.283
1789330088,853903686,27.294,robot_1,-0.047,0.454
1789330088,853959780,27.294,robot_2,-0.530,-2.890
1789330088,853987705,27.294,robot_0,-1.812,1.284
1789330089,59956000,27.500,robot_1,-0.019,0.431
1789330089,60019152,27.500,robot_2,-0.563,-2.897
1789330089,60056525,27.500,robot_0,-1.812,1.284
1789330089,272093279,27.712,robot_1,-0.017,0.430
1789330089,272171290,27.712,robot_2,-0.595,-2.906
1789330089,272202878,27.712,robot_0,-1.813,1.284
1789330089,499580039,27.939,robot_1,-0.016,0.430
1789330089,499654963,27.939,robot_2,-0.634,-2.917
1789330089,499686530,27.939,robot_0,-1.813,1.285
1789330089,704877716,28.145,robot_1,-0.016,0.430
1789330089,704943085,28.145,robot_2,-0.652,-2.923
1789330089,705002820,28.145,robot_0,-1.814,1.285
1789330089,937648619,28.377,robot_1,-0.016,0.430
1789330089,937713611,28.377,robot_2,-0.652,-2.923
1789330089,937756546,28.377,robot_0,-1.814,1.285
1789330090,151849638,28.592,robot_1,-0.016,0.431
1789330090,151916691,28.592,robot_2,-0.652,-2.922
1789330090,151958693,28.592,robot_0,-1.815,1.285
1789330090,365600941,28.805,robot_1,-0.016,0.431
1789330090,365661474,28.805,robot_2,-0.652,-2.922
1789330090,365704569,28.805,robot_0,-1.817,1.311
1789330090,576454757,29.016,robot_1,-0.016,0.431
1789330090,576517370,29.016,robot_2,-0.652,-2.921
1789330090,576551091,29.016,robot_0,-1.817,1.323
1789330090,778110846,29.218,robot_1,-0.017,0.431
1789330090,778173307,29.218,robot_2,-0.652,-2.921
1789330090,778209796,29.218,robot_0,-1.814,1.282
1789330090,981605708,29.421,robot_1,-0.017,0.432
1789330090,981671075,29.421,robot_2,-0.651,-2.920
1789330090,984708773,29.424,robot_0,-1.810,1.225
1789330091,195631433,29.635,robot_1,-0.017,0.432
1789330091,195709880,29.635,robot_2,-0.651,-2.920
1789330091,195746903,29.635,robot_0,-1.808,1.199
1789330091,403663969,29.843,robot_1,-0.017,0.432
1789330091,403727317,29.843,robot_2,-0.650,-2.920
1789330091,403764645,29.843,robot_0,-1.809,1.199
1789330091,620217338,30.060,robot_1,-0.017,0.432
1789330091,620282835,30.060,robot_2,-0.650,-2.919
1789330091,620315840,30.060,robot_0,-1.809,1.199
1789330091,828565761,30.268,robot_1,-0.018,0.432
1789330091,828631362,30.268,robot_2,-0.650,-2.919
1789330091,828673964,30.268,robot_0,-1.824,1.227
1789330092,52122971,30.492,robot_1,-0.018,0.432
1789330092,52195657,30.492,robot_2,-0.648,-2.893
1789330092,52227880,30.492,robot_0,-1.837,1.249
1789330092,270953177,30.711,robot_1,-0.018,0.432
1789330092,271022970,30.711,robot_2,-0.647,-2.886
1789330092,271057349,30.711,robot_0,-1.826,1.232
1789330092,529933987,30.970,robot_1,-0.019,0.432
1789330092,529996896,30.970,robot_2,-0.647,-2.886
1789330092,530031327,30.970,robot_0,-1.826,1.231
1789330092,735681212,31.175,robot_1,-0.019,0.432
1789330092,735742368,31.175,robot_2,-0.647,-2.886
1789330092,735777177,31.175,robot_0,-1.827,1.231
1789330092,949523321,31.389,robot_1,-0.019,0.432
1789330092,949597029,31.389,robot_2,-0.648,-2.886
1789330092,949630425,31.389,robot_0,-1.827,1.231
1789330093,154054543,31.594,robot_1,-0.034,0.446
1789330093,154113051,31.594,robot_2,-0.648,-2.886
1789330093,154144997,31.594,robot_0,-1.827,1.230
1789330093,364075787,31.804,robot_1,-0.061,0.472
1789330093,364135556,31.804,robot_2,-0.649,-2.886
1789330093,364168297,31.804,robot_0,-1.827,1.229
1789330093,597194310,32.037,robot_1,-0.053,0.465
1789330093,597264969,32.037,robot_2,-0.649,-2.887
1789330093,597307400,32.037,robot_0,-1.827,1.229
1789330093,821626656,32.261,robot_1,-0.053,0.465
1789330093,821697565,32.261,robot_2,-0.649,-2.887
1789330093,821742528,32.261,robot_0,-1.827,1.229
1789330094,24822489,32.464,robot_1,-0.053,0.464
1789330094,24887069,32.465,robot_2,-0.649,-2.887
1789330094,24921817,32.465,robot_0,-1.827,1.228
1789330094,228436102,32.668,robot_1,-0.053,0.464
1789330094,230982271,32.671,robot_2,-0.649,-2.888
1789330094,231064907,32.671,robot_0,-1.827,1.228
1789330094,443367955,32.883,robot_1,-0.053,0.464
1789330094,443431316,32.883,robot_2,-0.650,-2.888
1789330094,443465383,32.883,robot_0,-1.827,1.227
1789330094,646669218,33.086,robot_1,-0.053,0.464
1789330094,646739426,33.086,robot_2,-0.650,-2.889
1789330094,646782388,33.086,robot_0,-1.826,1.227
1789330094,866180609,33.306,robot_1,-0.053,0.464
1789330094,866238231,33.306,robot_2,-0.649,-2.889
1789330094,866273546,33.306,robot_0,-1.826,1.227
1789330095,67807010,33.507,robot_1,-0.053,0.464
1789330095,67869013,33.508,robot_2,-0.649,-2.889
1789330095,67902592,33.508,robot_0,-1.825,1.226
1789330095,304463212,33.744,robot_1,-0.053,0.464
1789330095,304535801,33.744,robot_2,-0.649,-2.890
1789330095,304584061,33.744,robot_0,-1.825,1.226
1789330095,519030359,33.959,robot_1,-0.062,0.473
1789330095,519102200,33.959,robot_2,-0.649,-2.890
1789330095,519139223,33.959,robot_0,-1.824,1.226
1789330095,727984971,34.168,robot_1,-0.088,0.503
1789330095,728044202,34.168,robot_2,-0.649,-2.890
1789330095,728079848,34.168,robot_0,-1.824,1.226
1789330095,940481363,34.380,robot_1,-0.106,0.527
1789330095,940548413,34.380,robot_2,-0.648,-2.891
1789330095,940596813,34.380,robot_0,-1.824,1.226
1789330096,154324518,34.594,robot_1,-0.112,0.534
1789330096,154389308,34.594,robot_2,-0.648,-2.891
1789330096,154431749,34.594,robot_0,-1.823,1.226
1789330096,381226461,34.821,robot_1,-0.112,0.534
1789330096,381285077,34.821,robot_2,-0.647,-2.889
1789330096,381318586,34.821,robot_0,-1.823,1.227
1789330096,589785707,35.029,robot_1,-0.112,0.534
1789330096,592691779,35.032,robot_2,-0.638,-2.848
1789330096,592775206,35.032,robot_0,-1.825,1.231
1789330096,796736578,35.236,robot_1,-0.112,0.534
1789330096,796815729,35.236,robot_2,-0.633,-2.823
1789330096,796853502,35.237,robot_0,-1.850,1.268
1789330097,13060473,35.453,robot_1,-0.112,0.533
1789330097,13120351,35.453,robot_2,-0.635,-2.835
1789330097,13147601,35.453,robot_0,-1.865,1.289
1789330097,233814786,35.673,robot_1,-0.112,0.533
1789330097,233884053,35.674,robot_2,-0.632,-2.801
1789330097,233922138,35.674,robot_0,-1.865,1.289
1789330097,434111486,35.874,robot_1,-0.112,0.533
1789330097,434171317,35.874,robot_2,-0.630,-2.756
1789330097,434208061,35.874,robot_0,-1.859,1.277
1789330097,641167296,36.081,robot_1,-0.112,0.533
1789330097,641235250,36.081,robot_2,-0.631,-2.776
1789330097,641271250,36.081,robot_0,-1.842,1.246
1789330097,860531752,36.300,robot_1,-0.112,0.532
1789330097,860595501,36.300,robot_2,-0.631,-2.771
1789330097,860626626,36.300,robot_0,-1.839,1.239
1789330098,64682281,36.504,robot_1,-0.112,0.532
1789330098,64741746,36.504,robot_2,-0.630,-2.736
1789330098,64771737,36.504,robot_0,-1.821,1.210
1789330098,291420002,36.731,robot_1,-0.112,0.532
1789330098,291486276,36.731,robot_2,-0.629,-2.736
1789330098,291522945,36.731,robot_0,-1.801,1.178
1789330098,501942752,36.942,robot_1,-0.112,0.532
1789330098,505043863,36.946,robot_2,-0.629,-2.736
1789330098,506225847,36.946,robot_0,-1.796,1.170
1789330098,739192245,37.179,robot_1,-0.111,0.531
1789330098,739256204,37.179,robot_2,-0.629,-2.736
1789330098,739288780,37.179,robot_0,-1.796,1.170
1789330098,965899979,37.406,robot_1,-0.111,0.531
1789330098,966781778,37.406,robot_2,-0.628,-2.736
1789330098,966837117,37.406,robot_0,-1.796,1.170
1789330099,172171514,37.612,robot_1,-0.111,0.531
1789330099,172235744,37.612,robot_2,-0.628,-2.736
1789330099,172272841,37.612,robot_0,-1.796,1.170
1789330099,396935716,37.837,robot_1,-0.111,0.531
1789330099,396999189,37.837,robot_2,-0.628,-2.735
1789330099,397031048,37.837,robot_0,-1.796,1.170
1789330099,606108845,38.046,robot_1,-0.110,0.531
1789330099,606175187,38.046,robot_2,-0.627,-2.735
1789330099,606202891,38.046,robot_0,-1.795,1.170
1789330099,809858077,38.250,robot_1,-0.107,0.519
1789330099,809922000,38.250,robot_2,-0.627,-2.735
1789330099,809954209,38.250,robot_0,-1.795,1.171
1789330100,22156515,38.462,robot_1,-0.099,0.491
1789330100,25324699,38.465,robot_2,-0.627,-2.734
1789330100,25390635,38.465,robot_0,-1.795,1.171
1789330100,237827459,38.678,robot_1,-0.099,0.491
1789330100,237923001,38.678,robot_2,-0.627,-2.734
1789330100,237960477,38.678,robot_0,-1.795,1.172
1789330100,462230237,38.902,robot_1,-0.099,0.491
1789330100,462289527,38.902,robot_2,-0.627,-2.733
1789330100,462314900,38.902,robot_0,-1.795,1.172
1789330100,674442137,39.114,robot_1,-0.099,0.491
1789330100,674497841,39.114,robot_2,-0.627,-2.733
1789330100,674524586,39.114,robot_0,-1.795,1.173
1789330100,895881059,39.336,robot_1,-0.096,0.457
1789330100,895945410,39.336,robot_2,-0.628,-2.732
1789330100,895973313,39.336,robot_0,-1.795,1.173
1789330101,106386387,39.546,robot_1,-0.095,0.427
1789330101,108225109,39.548,robot_2,-0.628,-2.732
1789330101,108302145,39.548,robot_0,-1.795,1.174
1789330101,310317625,39.750,robot_1,-0.096,0.394
1789330101,310376785,39.750,robot_2,-0.628,-2.732
1789330101,310404789,39.750,robot_0,-1.796,1.174
1789330101,526956441,39.967,robot_1,-0.097,0.386
1789330101,527021750,39.967,robot_2,-0.629,-2.732
1789330101,527055898,39.967,robot_0,-1.796,1.175
1789330101,729044110,40.169,robot_1,-0.101,0.349
1789330101,729111785,40.169,robot_2,-0.629,-2.731
1789330101,729142018,40.169,robot_0,-1.797,1.175
1789330101,954670264,40.394,robot_1,-0.102,0.343
1789330101,954733919,40.394,robot_2,-0.630,-2.730
1789330101,954761940,40.394,robot_0,-1.797,1.175
1789330102,162514399,40.602,robot_1,-0.102,0.343
1789330102,162584244,40.602,robot_2,-0.628,-2.695
1789330102,162611130,40.602,robot_0,-1.798,1.175
1789330102,394183299,40.834,robot_1,-0.102,0.343
1789330102,394257377,40.834,robot_2,-0.626,-2.651
1789330102,394291865,40.834,robot_0,-1.798,1.175
1789330102,634031529,41.074,robot_1,-0.102,0.343
1789330102,634088537,41.074,robot_2,-0.625,-2.613
1789330102,634109321,41.074,robot_0,-1.799,1.175
1789330102,847245487,41.287,robot_1,-0.102,0.343
1789330102,847308559,41.287,robot_2,-0.624,-2.602
1789330102,847333192,41.287,robot_0,-1.799,1.175
1789330103,81113623,41.521,robot_1,-0.101,0.343
1789330103,81168676,41.521,robot_2,-0.624,-2.602
1789330103,81189007,41.521,robot_0,-1.809,1.193
1789330103,285183072,41.725,robot_1,-0.101,0.343
1789330103,285252442,41.725,robot_2,-0.624,-2.602
1789330103,285280632,41.725,robot_0,-1.812,1.200
1789330103,500849097,41.941,robot_1,-0.101,0.344
1789330103,500917191,41.941,robot_2,-0.623,-2.602
1789330103,500944795,41.941,robot_0,-1.786,1.147
1789330103,711989337,42.152,robot_1,-0.101,0.344
1789330103,712054584,42.152,robot_2,-0.623,-2.603
1789330103,712079801,42.152,robot_0,-1.766,1.107
1789330103,935948044,42.376,robot_1,-0.100,0.344
1789330103,936022936,42.376,robot_2,-0.622,-2.603
1789330103,936055146,42.376,robot_0,-1.756,1.087
1789330104,143240020,42.583,robot_1,-0.100,0.344
1789330104,143309231,42.583,robot_2,-0.622,-2.604
1789330104,143342294,42.583,robot_0,-1.775,1.117
1789330104,347853350,42.788,robot_1,-0.100,0.345
1789330104,347917012,42.788,robot_2,-0.622,-2.604
1789330104,347944918,42.788,robot_0,-1.793,1.146
1789330104,586118282,43.026,robot_1,-0.100,0.345
1789330104,586185236,43.026,robot_2,-0.622,-2.605
1789330104,586212244,43.026,robot_0,-1.802,1.161
1789330104,788548707,43.238,robot_1,-0.100,0.345
1789330104,798748527,43.238,robot_2,-0.622,-2.605
1789330104,798796379,43.238,robot_0,-1.802,1.161
1789330104,997679718,43.437,robot_1,-0.100,0.345
1789330104,997745141,43.437,robot_2,-0.643,-2.599
1789330104,997776463,43.437,robot_0,-1.802,1.160
1789330105,200819973,43.640,robot_1,-0.100,0.346
1789330105,200899043,43.641,robot_2,-0.684,-2.587
1789330105,200929811,43.641,robot_0,-1.802,1.160
1789330105,404308344,43.844,robot_1,-0.101,0.346
